Sample name,Sequence count
YUN3428.2,1442
BAQ4166.1.2,1369
BAQ4166.2,1341
YUN3533.3,1321
BAQ3473.3,1320
YUN3856.3,1297
BAQ4166.3,1290
YUN3533.2,1228
BAQ3473.1,1148
YUN3259.3,1146
BAQ4697.3,1120
YUN3428.1,1114
BAQ4166.1.3,1103
YUN3428.3,1102
BAQ4166.1.1,1096
YUN3259.2,1051
YUN3856.2,1047
YUN3856.1.2,1045
YUN3856.1.1,1005
YUN3533.1.1,995
YUN3533.1.2,961
BAQ3473.2,941
BAQ2687.1,935
BAQ2462.1,935
YUN1005.1.1,927
BAQ2687.3,916
YUN2029.2,908
BAQ4697.1,884
YUN3346.3,824
YUN3533.1.3,812
BAQ4697.2,812
YUN1242.3,792
BAQ2420.1.1,778
YUN1609.1,763
YUN3259.1.2,729
BAQ2420.1.3,708
YUN3856.1.3,703
YUN3346.1,701
BAQ2420.3,700
BAQ2687.2,695
BAQ2420.1.2,672
BAQ2420.2,651
BAQ2838.1,636
BAQ2462.2,629
YUN3153.3,609
YUN1242.1,571
BAQ2838.2,527
BAQ2462.3,497
YUN3153.2,473
YUN1005.3,439
BAQ2838.3,388
YUN3259.1.3,295
YUN3346.2,192
YUN3259.1.1,64
YUN1242.2,11
BAQ895.2,9
YUN2029.1,8
YUN3008.1.3,6
BAQ1370.1.3,6
YUN3184.2,4
YUN3008.1.2,3
YUN3008.1.1,3
YUN2029.3,2
BAQ895.3,2
YUN3153.1,2
YUN1005.1.3,2
BAQ1552.1.1,2
YUN3008.3,2
YUN1609.3,1
BAQ1552.2,1
BAQ1370.3,1
